queue_id,service_id,called,letter,position,created_date,created_time,updated_date,updated_time
1661,1,1,W,0,2024-02-07,09:38:33,2024-02-07,10:32:29
1662,1,1,W,0,2024-02-07,09:45:56,2024-02-07,10:52:13
1663,1,1,W,0,2024-02-07,09:48:56,2024-02-07,10:56:34
1664,2,1,NR,0,2024-02-07,09:50:41,2024-02-07,10:31:28
1665,2,1,NR,0,2024-02-07,09:52:54,2024-02-07,10:41:44
1666,2,1,NR,0,2024-02-07,09:54:27,2024-02-07,10:42:17
1667,1,1,W,0,2024-02-07,10:00:47,2024-02-07,11:03:46
1668,1,1,W,0,2024-02-07,10:19:53,2024-02-07,11:18:25
1669,1,1,W,0,2024-02-07,10:21:51,2024-02-07,11:28:29
1670,2,1,NR,0,2024-02-07,10:22:31,2024-02-07,10:42:41
1671,2,1,NR,0,2024-02-07,10:22:42,2024-02-07,10:43:11
1672,2,1,NR,0,2024-02-07,10:24:54,2024-02-07,10:57:12
1673,2,1,NR,0,2024-02-07,10:25:39,2024-02-07,10:58:47
1674,2,1,NR,0,2024-02-07,10:38:27,2024-02-07,11:18:21
1675,1,1,W,0,2024-02-07,10:40:46,2024-02-07,11:46:27
1676,1,1,W,0,2024-02-07,10:43:57,2024-02-07,12:16:29
1677,2,1,NR,0,2024-02-07,10:44:27,2024-02-07,11:20:15
1678,1,1,W,0,2024-02-07,10:44:56,2024-02-07,12:24:14
1679,2,1,NR,0,2024-02-07,10:50:54,2024-02-07,11:38:20
1680,1,1,W,0,2024-02-07,10:53:46,2024-02-07,12:31:23
1681,2,1,NR,0,2024-02-07,10:53:53,2024-02-07,11:49:31
1682,2,1,NR,0,2024-02-07,10:54:57,2024-02-07,11:52:56
1683,1,1,W,0,2024-02-07,11:00:48,2024-02-07,12:34:55
1684,1,1,W,0,2024-02-07,11:02:30,2024-02-07,12:36:49
1685,2,1,NR,0,2024-02-07,11:07:55,2024-02-07,12:08:55
1686,2,1,NR,0,2024-02-07,11:11:00,2024-02-07,12:15:41
1687,2,1,NR,0,2024-02-07,11:11:59,2024-02-07,12:26:04
1688,2,1,NR,0,2024-02-07,11:13:37,2024-02-07,12:26:20
1689,2,1,NR,0,2024-02-07,11:14:10,2024-02-07,12:33:17
1690,2,1,NR,0,2024-02-07,11:27:34,2024-02-07,12:45:13
1691,1,1,W,0,2024-02-07,11:32:07,2024-02-07,12:37:19
1692,1,1,W,0,2024-02-07,11:36:20,2024-02-07,12:37:45
1693,2,1,NR,0,2024-02-07,11:38:03,2024-02-07,12:57:01
1694,2,1,NR,0,2024-02-07,11:38:09,2024-02-07,12:58:10
1695,1,1,W,0,2024-02-07,11:38:23,2024-02-07,13:01:54
1696,2,1,NR,0,2024-02-07,11:40:41,2024-02-07,13:01:15
1697,2,1,NR,0,2024-02-07,11:45:36,2024-02-07,13:11:27
1698,1,1,W,0,2024-02-07,11:48:59,2024-02-07,13:03:05
1699,2,1,NR,0,2024-02-07,11:58:21,2024-02-07,13:26:46
1700,2,1,NR,0,2024-02-07,11:58:31,2024-02-07,13:29:23
1701,1,1,W,0,2024-02-07,12:00:09,2024-02-07,13:08:12
1702,2,1,NR,0,2024-02-07,12:20:56,2024-02-07,13:41:05
1703,1,1,W,0,2024-02-07,12:21:43,2024-02-07,13:16:34
1704,2,1,NR,0,2024-02-07,12:22:31,2024-02-07,13:43:20
1705,2,1,NR,0,2024-02-07,12:22:52,2024-02-07,13:44:54
1706,2,1,NR,0,2024-02-07,12:23:20,2024-02-07,13:53:45
1707,2,1,NR,0,2024-02-07,12:24:36,2024-02-07,14:14:37
1708,1,1,W,0,2024-02-07,12:25:46,2024-02-07,13:39:52
1709,2,1,NR,0,2024-02-07,12:31:32,2024-02-07,14:15:29
1710,2,1,NR,0,2024-02-07,12:32:27,2024-02-07,14:25:04
1711,1,1,W,0,2024-02-07,12:34:23,2024-02-07,13:47:31
1712,3,1,T,0,2024-02-07,12:37:16,2024-02-07,13:21:01
1713,1,1,W,0,2024-02-07,12:37:49,2024-02-07,13:49:30
1714,1,1,W,0,2024-02-07,12:37:59,2024-02-07,13:56:53
1715,3,1,T,0,2024-02-07,12:38:47,2024-02-07,13:37:33
1716,2,1,NR,0,2024-02-07,12:40:19,2024-02-07,14:34:51
1717,1,1,W,0,2024-02-07,12:42:00,2024-02-07,14:04:12
1718,2,1,NR,0,2024-02-07,12:43:08,2024-02-07,14:40:44
1719,1,1,W,0,2024-02-07,12:43:56,2024-02-07,14:04:51
1720,2,1,NR,0,2024-02-07,12:44:12,2024-02-07,15:01:52
1721,2,1,NR,0,2024-02-07,12:45:47,2024-02-07,15:05:21
1722,1,1,W,0,2024-02-07,12:50:01,2024-02-07,14:07:15
1723,1,1,W,0,2024-02-07,12:51:28,2024-02-07,14:19:30
1724,3,1,T,0,2024-02-07,12:52:44,2024-02-07,13:38:02
1725,3,1,T,0,2024-02-07,12:53:15,2024-02-07,13:54:10
1726,3,1,T,0,2024-02-07,12:53:31,2024-02-07,14:09:34
